model,ari,nmi,v_measure,silhouette,davies_bouldin,f1,auc,encode_ms,memory_mb,throughput
all-MiniLM-L6-v2,-0.000257356481403031,2.593689521673977e-06,2.5936895216739776e-06,0.481201171875,0.8698058570359779,0.13076923076923078,0.8618745903430195,3185.231924057007,1.4912109375,319.59996140669745
all-mpnet-base-v2,0.00013069385902110748,3.4675857143007222e-06,3.467585714300723e-06,0.46192440390586853,0.8899404376633205,0.09336609336609336,0.7996504260432598,21088.812112808228,2.982421875,48.27204086007863
BAAI/bge-base-en-v1.5,-0.0001859362673734724,8.448668767462917e-07,8.448668767462918e-07,0.37990373373031616,1.1128259913821577,0.16822429906542055,0.8801835263272886,23035.200834274292,2.982421875,44.19323310111142
intfloat/e5-base-v2,0.0014351062500007315,0.00019562906532830207,0.0001956290653283021,0.4672912657260895,0.8844359305359251,0.14049586776859505,0.8603889010268735,22755.82981109619,2.982421875,44.73578895829161
